Cidade,Estado,População total estimada do município,Taxa de homicídios,Soluções em monitoramento para a segurança pública,Políticas públicas e ações para segurança pública,Urbanização vias públicas,Soluções para telegestão da iluminação pública,Taxa de analfabetismo,Geração de trabalho e renda no município,Índice de desenvolvimento humano do município (IDH-M),Pesquisas de satisfação/ Monitoramento da percepção de qualidade,Score_Seguranca
Coroatá,MA,65296,35.87,1.0,3,50.31,0.0,31.54,4,0.576,4.0,54.13528038135285
Arapiraca,AL,231747,65.33,1.0,3,56.96,0.0,21.87,5,0.649,4.0,54.11487503490813
Saquarema,RJ,89170,45.37,1.0,3,46.54,0.0,5.85,0,0.709,4.0,54.110958172578684
Tailândia,PA,106339,57.83,1.0,6,27.15,0.0,13.69,4,0.588,4.0,54.024503163632104
Timbaúba,PE,53022,61.88,1.0,3,74.56,0.0,20.06,3,0.618,4.0,53.93077040570833
Marabá,PA,279349,76.8,1.0,5,33.27,0.0,10.6,5,0.668,4.0,53.84791354825933
Tutóia,MA,58860,8.63,1.0,3,47.36,0.0,28.97,0,0.561,4.0,53.83615060733166
Açailândia,MA,112445,46.14,1.0,4,53.64,0.0,17.02,0,0.672,4.0,53.791248101949904
Santa Inês,MA,89044,52.53,1.0,3,73.02,0.0,17.24,0,0.674,4.0,53.73420609360468
Igarapé-Miri,PA,62698,64.28,1.0,5,48.79,0.0,18.71,5,0.547,4.0,53.70158209928796
Itaboraí,RJ,240592,46.8,1.0,5,26.65,0.0,6.41,0,0.693,4.0,53.660760519662595
Tucuruí,PA,113659,57.86,1.0,3,72.29,0.0,9.25,0,0.666,4.0,53.549966417634224
Pacajus,CE,72203,78.71,1.0,3,64.07,0.0,18.0,5,0.659,4.0,53.492460243283325
São Félix do Xingu,PA,128481,36.49,1.0,3,11.67,0.0,13.12,5,0.594,4.0,53.48446368321019
Camaçari,BA,299132,86.28,1.0,3,56.03,0.0,7.33,5,0.694,4.0,53.48392248086081
Pinheiro,MA,83387,36.62,1.0,3,55.53,0.0,17.29,0,0.637,4.0,53.476069341659
Viseu,PA,61403,11.78,1.0,3,49.37,0.0,20.58,0,0.515,4.0,53.44528206474961
Piraquara,PR,113036,49.94,1.0,3,18.67,0.0,5.27,3,0.7,4.0,53.43370225953752
Chapadinha,MA,79675,24.25,1.0,3,52.05,0.0,25.02,0,0.604,4.0,53.38359829309536
Escada,PE,68875,72.23,1.0,3,62.12,0.0,21.09,5,0.632,4.0,53.31618104451039
São José de Ribamar,MA,177687,73.86,1.0,2,41.33,0.0,6.38,5,0.708,4.0,53.13705958151094
